time,x,y,z
1.763444755982599974e+09,1.321455955505371094e+01,1.585992336273193359e+01,6.997846066951751709e-02
1.763444756182646990e+09,1.323302936553955078e+01,1.586310291290283203e+01,6.193188205361366272e-02
1.763444756282730579e+09,1.323475646972656250e+01,1.586199569702148438e+01,7.189939916133880615e-02
1.763444756482639790e+09,1.324305629730224609e+01,1.588027191162109375e+01,6.120435521006584167e-02
1.763444756682631969e+09,1.328824615478515625e+01,1.588907432556152344e+01,6.782726943492889404e-02
1.763444756782652617e+09,1.331294441223144531e+01,1.589686107635498047e+01,7.580883055925369263e-02
1.763444756982589245e+09,1.338063526153564453e+01,1.589705753326416016e+01,8.382098376750946045e-02
1.763444757182621241e+09,1.346396541595458984e+01,1.590118694305419922e+01,8.864714950323104858e-02
1.763444757382524490e+09,1.356235122680664062e+01,1.591302394866943359e+01,9.098419547080993652e-02
1.763444757482564926e+09,1.361519432067871094e+01,1.590947914123535156e+01,1.009407043457031250e-01
1.763444757582676172e+09,1.366704559326171875e+01,1.590963363647460938e+01,1.064637005329132080e-01
1.763444757782646894e+09,1.375984573364257812e+01,1.592101955413818359e+01,1.042460426688194275e-01
1.763444757882665634e+09,1.381502628326416016e+01,1.592442035675048828e+01,1.080257445573806763e-01
1.763444758082588911e+09,1.393066120147705078e+01,1.593313407897949219e+01,1.129077076911926270e-01
1.763444758282630205e+09,1.401695251464843750e+01,1.594201564788818359e+01,1.129086315631866455e-01
1.763444758482579947e+09,1.411785125732421875e+01,1.595626735687255859e+01,1.212807446718215942e-01
1.763444758582620859e+09,1.417157077789306641e+01,1.595608901977539062e+01,1.243856698274612427e-01
1.763444758682635069e+09,1.422509098052978516e+01,1.595390129089355469e+01,1.247690990567207336e-01
1.763444758882577419e+09,1.431355762481689453e+01,1.594461917877197266e+01,1.281649470329284668e-01
1.763444758982671499e+09,1.435983848571777344e+01,1.594583225250244141e+01,1.306049376726150513e-01
1.763444759182508945e+09,1.446002864837646484e+01,1.593045425415039062e+01,1.410841643810272217e-01
1.763444759282540083e+09,1.449539089202880859e+01,1.591652584075927734e+01,1.527786254882812500e-01
1.763444759382605791e+09,1.456118965148925781e+01,1.590585613250732422e+01,1.425826549530029297e-01
1.763444759482693672e+09,1.459426307678222656e+01,1.589557838439941406e+01,1.447373181581497192e-01
1.763444759682684183e+09,1.469875431060791016e+01,1.586656570434570312e+01,1.562460660934448242e-01
1.763444759882630348e+09,1.479673480987548828e+01,1.584651184082031250e+01,1.694579124450683594e-01
1.763444760082650185e+09,1.492082595825195312e+01,1.581811332702636719e+01,1.809261739253997803e-01
1.763444760282578230e+09,1.503375911712646484e+01,1.578172588348388672e+01,1.837252080440521240e-01
1.763444760382639170e+09,1.508311080932617188e+01,1.577627944946289062e+01,1.864898949861526489e-01
1.763444760582692862e+09,1.520221138000488281e+01,1.574174880981445312e+01,1.982232928276062012e-01
1.763444760682693005e+09,1.525132560729980469e+01,1.572397804260253906e+01,2.110379487276077271e-01
1.763444760782698870e+09,1.531896972656250000e+01,1.570605087280273438e+01,2.176565527915954590e-01
1.763444760982605219e+09,1.544289207458496094e+01,1.567387199401855469e+01,2.211138308048248291e-01
1.763444761082652092e+09,1.549789619445800781e+01,1.565336608886718750e+01,2.135491669178009033e-01
1.763444761182671070e+09,1.555881786346435547e+01,1.563551807403564453e+01,2.195676267147064209e-01
1.763444761282671213e+09,1.562164211273193359e+01,1.562009716033935547e+01,2.268397659063339233e-01
1.763444761482681274e+09,1.575192546844482422e+01,1.558413410186767578e+01,2.206458747386932373e-01
1.763444761682580709e+09,1.587251186370849609e+01,1.553114223480224609e+01,2.407923042774200439e-01
1.763444761782618046e+09,1.592603206634521484e+01,1.549382400512695312e+01,2.501807808876037598e-01
1.763444761882688999e+09,1.599190711975097656e+01,1.546596431732177734e+01,2.575764656066894531e-01
1.763444762082702875e+09,1.611857986450195312e+01,1.540913581848144531e+01,2.591818273067474365e-01
1.763444762282620192e+09,1.626195907592773438e+01,1.535161590576171875e+01,2.587861418724060059e-01
1.763444762382731438e+09,1.632235145568847656e+01,1.531673526763916016e+01,2.619492411613464355e-01
1.763444762582639456e+09,1.646431732177734375e+01,1.526105022430419922e+01,2.899363040924072266e-01
1.763444762682702541e+09,1.654416275024414062e+01,1.523838329315185547e+01,2.845847308635711670e-01
1.763444762882697105e+09,1.669280624389648438e+01,1.519520282745361328e+01,3.043089210987091064e-01
1.763444762982706785e+09,1.677309036254882812e+01,1.516300964355468750e+01,3.004455566406250000e-01
1.763444763182641268e+09,1.691389656066894531e+01,1.512230205535888672e+01,3.097543418407440186e-01
1.763444763282647133e+09,1.699349212646484375e+01,1.509178924560546875e+01,3.091079890727996826e-01
1.763444763482674360e+09,1.716211318969726562e+01,1.506114959716796875e+01,3.220405280590057373e-01
1.763444763582677603e+09,1.723629951477050781e+01,1.503008270263671875e+01,3.209086358547210693e-01
1.763444763682715178e+09,1.727000808715820312e+01,1.504036808013916016e+01,3.274253308773040771e-01
1.763444763882686377e+09,1.741604614257812500e+01,1.499494266510009766e+01,3.403391838073730469e-01
1.763444763982711077e+09,1.749683380126953125e+01,1.498057365417480469e+01,3.422906994819641113e-01
1.763444764082817793e+09,1.758247756958007812e+01,1.496479320526123047e+01,3.396872580051422119e-01
1.763444764282716513e+09,1.772239303588867188e+01,1.491316318511962891e+01,3.583633303642272949e-01
1.763444764482537031e+09,1.788953781127929688e+01,1.486708068847656250e+01,3.575259745121002197e-01
1.763444764582640648e+09,1.797610282897949219e+01,1.483822059631347656e+01,3.665877878665924072e-01
1.763444764782720327e+09,1.814144897460937500e+01,1.480095005035400391e+01,3.600091934204101562e-01
1.763444764982692242e+09,1.830572319030761719e+01,1.475750827789306641e+01,3.754934966564178467e-01
1.763444765182543278e+09,1.844742012023925781e+01,1.471634769439697266e+01,3.876157104969024658e-01
1.763444765282602549e+09,1.853178024291992188e+01,1.469221210479736328e+01,3.898308873176574707e-01
1.763444765382663965e+09,1.860360717773437500e+01,1.467293548583984375e+01,3.873394727706909180e-01
1.763444765582735777e+09,1.876937294006347656e+01,1.463642024993896484e+01,3.904147148132324219e-01
1.763444765782619238e+09,1.892325592041015625e+01,1.460898971557617188e+01,4.091861844062805176e-01
1.763444765882640123e+09,1.901679039001464844e+01,1.459767341613769531e+01,4.100670814514160156e-01
1.763444765982658863e+09,1.908454132080078125e+01,1.458919048309326172e+01,4.097957313060760498e-01
1.763444766082705975e+09,1.914084053039550781e+01,1.458557605743408203e+01,4.201042950153350830e-01
1.763444766182718515e+09,1.923193550109863281e+01,1.458328247070312500e+01,4.033242464065551758e-01
1.763444766382720232e+09,1.937626266479492188e+01,1.456593036651611328e+01,4.277586042881011963e-01
1.763444766582736731e+09,1.954391288757324219e+01,1.457065582275390625e+01,4.179725944995880127e-01
1.763444766782658100e+09,1.970602607727050781e+01,1.456502628326416016e+01,4.141031801700592041e-01
1.763444766982649803e+09,1.985989189147949219e+01,1.456608200073242188e+01,4.168562293052673340e-01
1.763444767182678938e+09,1.998929405212402344e+01,1.457677936553955078e+01,4.261548519134521484e-01
1.763444767382718801e+09,2.011029243469238281e+01,1.457319355010986328e+01,4.252718687057495117e-01
1.763444767582689762e+09,2.022687911987304688e+01,1.456396865844726562e+01,4.371981918811798096e-01
1.763444767782790661e+09,2.036887550354003906e+01,1.456169414520263672e+01,4.295623600482940674e-01
1.763444767982630730e+09,2.050383949279785156e+01,1.455777359008789062e+01,4.351266920566558838e-01
1.763444768082744360e+09,2.058089065551757812e+01,1.454619407653808594e+01,4.365143179893493652e-01
1.763444768282698393e+09,2.068671226501464844e+01,1.454564952850341797e+01,4.540372192859649658e-01
1.763444768382779360e+09,2.072489166259765625e+01,1.453891849517822266e+01,4.502126872539520264e-01
1.763444768582697630e+09,2.080759429931640625e+01,1.454282093048095703e+01,4.377511143684387207e-01
1.763444768682725191e+09,2.082445907592773438e+01,1.453771591186523438e+01,4.251248836517333984e-01
1.763444768882620573e+09,2.084961891174316406e+01,1.453946971893310547e+01,4.291872084140777588e-01
1.763444769082610369e+09,2.085092353820800781e+01,1.454351425170898438e+01,4.305572211742401123e-01
1.763444769182680368e+09,2.084941291809082031e+01,1.454832077026367188e+01,4.317355751991271973e-01
1.763444769382671356e+09,2.085036277770996094e+01,1.455305576324462891e+01,4.424532949924468994e-01
1.763444769482750654e+09,2.084466361999511719e+01,1.456219482421875000e+01,4.353670179843902588e-01
1.763444769682600021e+09,2.084036636352539062e+01,1.456033420562744141e+01,4.320247471332550049e-01
1.763444769782607555e+09,2.083161354064941406e+01,1.456610393524169922e+01,4.364320635795593262e-01
1.763444769882691383e+09,2.083011436462402344e+01,1.456287479400634766e+01,4.291821420192718506e-01
1.763444769982710600e+09,2.082410812377929688e+01,1.455427742004394531e+01,4.280140995979309082e-01
1.763444770182705402e+09,2.081351470947265625e+01,1.456550502777099609e+01,4.232351183891296387e-01
1.763444770382597446e+09,2.080563163757324219e+01,1.455512809753417969e+01,4.342737793922424316e-01
1.763444770482647896e+09,2.080455017089843750e+01,1.455717182159423828e+01,4.291117489337921143e-01
1.763444770582669735e+09,2.080875205993652344e+01,1.455569553375244141e+01,4.330931901931762695e-01
1.763444770682677031e+09,2.080684280395507812e+01,1.455320739746093750e+01,4.301309287548065186e-01
1.763444770782771111e+09,2.080490303039550781e+01,1.455704879760742188e+01,4.242856502532958984e-01
1.763444770982756853e+09,2.080275344848632812e+01,1.455884075164794922e+01,4.292188584804534912e-01
1.763444771182696819e+09,2.079515838623046875e+01,1.455838298797607422e+01,4.180283248424530029e-01
1.763444771282821178e+09,2.079772377014160156e+01,1.455032157897949219e+01,4.236595928668975830e-01
1.763444771482717276e+09,2.079173469543457031e+01,1.455120372772216797e+01,4.312274456024169922e-01
1.763444771582777500e+09,2.081018066406250000e+01,1.455698966979980469e+01,4.298904240131378174e-01
1.763444771782611609e+09,2.080179023742675781e+01,1.454659080505371094e+01,4.314601719379425049e-01
1.763444771882726669e+09,2.079276275634765625e+01,1.454598617553710938e+01,4.322374165058135986e-01
1.763444771982746124e+09,2.078694343566894531e+01,1.454345607757568359e+01,4.298927485942840576e-01
1.763444772182668209e+09,2.078656578063964844e+01,1.454528141021728516e+01,4.267576932907104492e-01
1.763444772382775545e+09,2.078186225891113281e+01,1.454404067993164062e+01,4.290701746940612793e-01
1.763444772582735300e+09,2.079216384887695312e+01,1.454319572448730469e+01,4.392193853855133057e-01
1.763444772682762146e+09,2.078655815124511719e+01,1.454026603698730469e+01,4.318305552005767822e-01
1.763444772882764101e+09,2.079404449462890625e+01,1.454666328430175781e+01,4.315273165702819824e-01
1.763444773082691431e+09,2.079002761840820312e+01,1.454782104492187500e+01,4.295400083065032959e-01
1.763444773182738781e+09,2.078799438476562500e+01,1.454440593719482422e+01,4.329265356063842773e-01
1.763444773382622004e+09,2.079600143432617188e+01,1.454350948333740234e+01,4.424328804016113281e-01
1.763444773482683659e+09,2.079461860656738281e+01,1.454639911651611328e+01,4.320113956928253174e-01
1.763444773582691431e+09,2.079289627075195312e+01,1.454973125457763672e+01,4.260551333427429199e-01
1.763444773682782888e+09,2.078205108642578125e+01,1.455112457275390625e+01,4.335222244262695312e-01
1.763444773882727146e+09,2.077286529541015625e+01,1.455831623077392578e+01,4.296170175075531006e-01
1.763444773982732534e+09,2.076436996459960938e+01,1.455765628814697266e+01,4.334399402141571045e-01
1.763444774182732105e+09,2.074439239501953125e+01,1.456040191650390625e+01,4.317818880081176758e-01
1.763444774382703543e+09,2.073022842407226562e+01,1.456612300872802734e+01,4.308742284774780273e-01
1.763444774582700014e+09,2.069968414306640625e+01,1.456696033477783203e+01,4.278232455253601074e-01
1.763444774782404184e+09,2.069218444824218750e+01,1.458415412902832031e+01,4.244223535060882568e-01
1.763444774882732391e+09,2.068677902221679688e+01,1.458692836761474609e+01,4.289977252483367920e-01
1.763444774982792139e+09,2.068063926696777344e+01,1.459115219116210938e+01,4.193340241909027100e-01
1.763444775182685614e+09,2.068671035766601562e+01,1.459815311431884766e+01,4.280784726142883301e-01
1.763444775282763720e+09,2.069476318359375000e+01,1.459470748901367188e+01,4.291192591190338135e-01
1.763444775482671976e+09,2.073018074035644531e+01,1.459148311614990234e+01,4.425615370273590088e-01
1.763444775582703590e+09,2.075534248352050781e+01,1.458464527130126953e+01,4.465189278125762939e-01
1.763444775782763720e+09,2.083345985412597656e+01,1.457801818847656250e+01,4.400174319744110107e-01
1.763444775982770920e+09,2.091699790954589844e+01,1.456519603729248047e+01,4.493667781352996826e-01
1.763444776182808399e+09,2.100319480895996094e+01,1.456980991363525391e+01,4.477890431880950928e-01
1.763444776382421494e+09,2.109934806823730469e+01,1.457033824920654297e+01,4.548386633396148682e-01
1.763444776482721567e+09,2.114369010925292969e+01,1.457603645324707031e+01,4.586012661457061768e-01
1.763444776682705641e+09,2.123634719848632812e+01,1.458352279663085938e+01,4.602601826190948486e-01
1.763444776782715559e+09,2.129253578186035156e+01,1.458981609344482422e+01,4.561116695404052734e-01
1.763444776982601166e+09,2.141076850891113281e+01,1.459562492370605469e+01,4.737751483917236328e-01
1.763444777082752466e+09,2.148146057128906250e+01,1.460305690765380859e+01,4.691557586193084717e-01
1.763444777182763577e+09,2.154935836791992188e+01,1.461331367492675781e+01,4.771933257579803467e-01
1.763444777382810593e+09,2.170119476318359375e+01,1.460675334930419922e+01,4.842779934406280518e-01
1.763444777582703590e+09,2.183987808227539062e+01,1.461616516113281250e+01,5.036176443099975586e-01
