timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444624.675,4.55869,4.11122,5.94703,0.02097,0.00892,0.03515
1763444624.775,4.55871,4.11121,5.94704,0.02097,0.00893,0.03515
1763444624.875,4.55873,4.11121,5.94705,0.02097,0.00893,0.03515
1763444624.975,4.55876,4.11121,5.94705,0.02097,0.00893,0.03515
1763444625.075,4.55879,4.11122,5.94707,0.02096,0.00892,0.03515
1763444625.175,4.55881,4.11122,5.94707,0.02096,0.00892,0.03515
1763444625.275,4.55885,4.11122,5.94708,0.02096,0.00892,0.03515
1763444625.375,4.55888,4.11123,5.94709,0.02096,0.00893,0.03515
1763444625.475,4.55891,4.11123,5.9471,0.02096,0.00893,0.03515
1763444625.575,4.55895,4.11124,5.94711,0.02098,0.00893,0.03517
1763444625.675,4.55898,4.11124,5.94712,0.02098,0.00893,0.03517
1763444625.775,4.55901,4.11124,5.94713,0.02098,0.00893,0.03517
1763444625.875,4.55905,4.11125,5.94714,0.02099,0.00895,0.03517
1763444625.975,4.55909,4.11125,5.94716,0.02099,0.00895,0.03517
1763444626.075,4.55915,4.11126,5.94718,0.02098,0.00891,0.03517
1763444626.175,4.55918,4.11126,5.94719,0.02098,0.00891,0.03517
1763444626.275,4.55921,4.11126,5.9472,0.02098,0.00891,0.03517
1763444626.375,4.55922,4.11126,5.94721,0.02098,0.00891,0.03517
1763444626.475,4.55925,4.11127,5.94722,0.02098,0.00892,0.03517
1763444626.575,4.55929,4.11127,5.94723,0.02098,0.00892,0.03517
1763444626.675,4.55934,4.11128,5.94725,0.02098,0.00892,0.03517
1763444626.775,4.55937,4.11129,5.94726,0.02098,0.00892,0.03517
1763444626.875,4.55938,4.11129,5.94726,0.02098,0.00892,0.03517
1763444626.975,4.55941,4.11129,5.94727,0.02098,0.00891,0.03517
1763444627.075,4.55944,4.1113,5.94728,0.02098,0.00891,0.03517
1763444627.175,4.55947,4.11131,5.94729,0.02098,0.00891,0.03517
1763444627.275,4.55951,4.11132,5.9473,0.02099,0.00891,0.03517
1763444627.375,4.55954,4.11132,5.94731,0.02099,0.00891,0.03517
1763444627.475,4.55956,4.11133,5.94732,0.02098,0.0089,0.03517
1763444627.575,4.55957,4.11134,5.94733,0.02098,0.0089,0.03517
1763444627.675,4.55958,4.11134,5.94734,0.02098,0.0089,0.03517
1763444627.775,4.55959,4.11135,5.94735,0.021,0.0089,0.03518
1763444627.875,4.5596,4.11136,5.94736,0.021,0.0089,0.03518
1763444627.975,4.55961,4.11137,5.94737,0.02098,0.0089,0.03517
1763444628.075,4.55962,4.11138,5.94737,0.02098,0.0089,0.03517
1763444628.175,4.55963,4.11138,5.94738,0.02098,0.0089,0.03517
1763444628.275,4.55963,4.11138,5.94738,0.02098,0.0089,0.03517
1763444628.375,4.55963,4.11139,5.94738,0.02098,0.0089,0.03517
1763444628.475,4.55964,4.11139,5.94738,0.02098,0.0089,0.03517
1763444628.575,4.55965,4.1114,5.94739,0.02098,0.0089,0.03517
1763444628.675,4.55965,4.11141,5.9474,0.02098,0.0089,0.03517
1763444628.775,4.55965,4.11141,5.9474,0.02098,0.0089,0.03517
1763444628.875,4.55966,4.11143,5.94741,0.02102,0.00891,0.03519
1763444628.975,4.55967,4.11144,5.94742,0.02102,0.00891,0.03519
1763444629.075,4.55969,4.11147,5.94742,0.02102,0.00891,0.03519
1763444629.175,4.55973,4.11148,5.94743,0.021,0.00893,0.0352
1763444629.275,4.55976,4.11148,5.94744,0.021,0.00893,0.0352
1763444629.375,4.5598,4.11148,5.94745,0.021,0.00892,0.0352
1763444629.475,4.55982,4.11147,5.94745,0.021,0.00892,0.0352
1763444629.575,4.55984,4.11147,5.94746,0.021,0.00892,0.0352
1763444629.675,4.55986,4.11148,5.94747,0.021,0.00891,0.0352
1763444629.775,4.55988,4.11148,5.94747,0.021,0.00891,0.0352
1763444629.875,4.5599,4.11149,5.94748,0.021,0.00891,0.0352
1763444629.975,4.55992,4.11149,5.94749,0.021,0.00892,0.0352
1763444630.075,4.55994,4.1115,5.9475,0.021,0.00892,0.0352
1763444630.175,4.55998,4.1115,5.94751,0.021,0.00894,0.03521
1763444630.275,4.56001,4.11151,5.94752,0.021,0.00894,0.03521
1763444630.375,4.56004,4.11151,5.94753,0.021,0.00894,0.03521
1763444630.475,4.56007,4.11151,5.94753,0.021,0.00893,0.03521
1763444630.575,4.56008,4.11152,5.94754,0.021,0.00893,0.03521
1763444630.675,4.5601,4.11152,5.94755,0.021,0.00893,0.03521
1763444630.775,4.56013,4.11153,5.94756,0.021,0.00894,0.03521
1763444630.875,4.56015,4.11154,5.94757,0.021,0.00894,0.03521
1763444630.975,4.56017,4.11154,5.94757,0.021,0.00894,0.03521
1763444631.075,4.56021,4.11155,5.94758,0.021,0.00893,0.03521
1763444631.175,4.56024,4.11155,5.94759,0.021,0.00893,0.03521
1763444631.275,4.56026,4.11156,5.94759,0.02101,0.00895,0.03522
1763444631.375,4.56027,4.11156,5.94759,0.02101,0.00895,0.03522
1763444631.475,4.56028,4.11157,5.94759,0.02101,0.00895,0.03522
1763444631.575,4.5603,4.11159,5.94761,0.02103,0.00897,0.03522
1763444631.675,4.56033,4.11162,5.94762,0.02103,0.00897,0.03522
1763444631.775,4.56046,4.11168,5.94768,0.021,0.00898,0.03522
1763444631.875,4.56055,4.11169,5.9477,0.021,0.00898,0.03522
1763444631.975,4.56062,4.11168,5.94771,0.021,0.00898,0.03522
1763444632.075,4.56067,4.11167,5.94772,0.021,0.00895,0.03522
1763444632.175,4.56071,4.11166,5.94773,0.021,0.00895,0.03522
1763444632.275,4.56073,4.11166,5.94773,0.02099,0.00894,0.03521
1763444632.375,4.56074,4.11167,5.94773,0.02099,0.00894,0.03521
1763444632.475,4.56077,4.11168,5.94773,0.02099,0.00894,0.03521
1763444632.575,4.56081,4.11168,5.94774,0.02098,0.00892,0.03521
1763444632.675,4.56084,4.11168,5.94775,0.02098,0.00892,0.03521
1763444632.775,4.56089,4.11168,5.94775,0.02098,0.00892,0.03521
1763444632.875,4.56093,4.11168,5.94777,0.02099,0.00891,0.0352
1763444632.975,4.56097,4.11168,5.94777,0.02099,0.00891,0.0352
1763444633.075,4.56101,4.11168,5.94778,0.02098,0.0089,0.03519
1763444633.175,4.56103,4.11169,5.94779,0.02098,0.0089,0.03519
1763444633.275,4.56105,4.11169,5.9478,0.02098,0.0089,0.03519
1763444633.375,4.56107,4.1117,5.94781,0.02099,0.00891,0.0352
1763444633.475,4.56108,4.1117,5.94781,0.02099,0.00891,0.0352
1763444633.575,4.56109,4.11171,5.94782,0.02099,0.00891,0.0352
1763444633.675,4.56113,4.11171,5.94782,0.02099,0.00891,0.03519
1763444633.775,4.56116,4.11171,5.94783,0.02099,0.00891,0.03519
1763444633.875,4.56118,4.1117,5.94784,0.02098,0.0089,0.03518
1763444633.975,4.56119,4.1117,5.94784,0.02098,0.0089,0.03518
1763444634.075,4.56118,4.1117,5.94784,0.02098,0.0089,0.03518
1763444634.175,4.56115,4.11169,5.94784,0.02099,0.00889,0.03518
1763444634.275,4.56114,4.11169,5.94784,0.02099,0.00889,0.03518
1763444634.375,4.56113,4.11169,5.94785,0.02099,0.00889,0.03518
1763444634.475,4.56114,4.11169,5.94785,0.02099,0.00889,0.03518
1763444634.575,4.56115,4.11169,5.94785,0.02099,0.00889,0.03518
1763444634.675,4.56115,4.11168,5.94785,0.02099,0.00889,0.03519
1763444634.775,4.56114,4.11168,5.94785,0.02099,0.00889,0.03519
1763444634.875,4.56112,4.11167,5.94785,0.02099,0.00889,0.03519
1763444634.975,4.56108,4.11167,5.94784,0.02099,0.00889,0.03518
1763444635.075,4.56105,4.11167,5.94784,0.02099,0.00889,0.03518
1763444635.175,4.56102,4.11166,5.94783,0.02099,0.00889,0.03518
1763444635.275,4.56101,4.11166,5.94783,0.02099,0.00889,0.03519
1763444635.375,4.56101,4.11166,5.94783,0.02099,0.00889,0.03519
1763444635.475,4.56102,4.11166,5.94783,0.02099,0.00889,0.03519
1763444635.575,4.56104,4.11165,5.94784,0.021,0.0089,0.03519
1763444635.675,4.56106,4.11165,5.94784,0.021,0.0089,0.03519
1763444635.775,4.5611,4.11165,5.94785,0.021,0.00891,0.0352
1763444635.875,4.56113,4.11165,5.94785,0.021,0.00891,0.0352
1763444635.975,4.56116,4.11166,5.94785,0.021,0.00891,0.0352
1763444636.075,4.5612,4.11166,5.94786,0.021,0.00891,0.03519
1763444636.175,4.56122,4.11165,5.94786,0.021,0.00891,0.03519
1763444636.275,4.56126,4.11165,5.94787,0.021,0.00891,0.03519
1763444636.375,4.56132,4.11167,5.94789,0.02102,0.00895,0.03521
1763444636.475,4.5614,4.11168,5.94791,0.02102,0.00895,0.03521
1763444636.575,4.5615,4.11171,5.94793,0.02101,0.00893,0.0352
1763444636.675,4.56158,4.11173,5.94795,0.02101,0.00893,0.0352
1763444636.775,4.56165,4.11176,5.94797,0.02101,0.00893,0.0352
1763444636.875,4.5617,4.11176,5.94797,0.021,0.0089,0.03521
1763444636.975,4.56173,4.11176,5.94798,0.021,0.0089,0.03521
