timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444624.675,4.24547,4.7511,5.62036,0.01041,0.02197,0.03267
1763444624.775,4.24548,4.75109,5.62038,0.01041,0.02197,0.03267
1763444624.875,4.24549,4.7511,5.6204,0.01041,0.02197,0.03267
1763444624.975,4.2455,4.75112,5.62041,0.01041,0.02197,0.03267
1763444625.075,4.24551,4.75113,5.62043,0.0104,0.02197,0.03266
1763444625.175,4.24552,4.75114,5.62044,0.0104,0.02197,0.03266
1763444625.275,4.24553,4.75116,5.62046,0.0104,0.02197,0.03266
1763444625.375,4.24555,4.75117,5.62048,0.0104,0.02197,0.03266
1763444625.475,4.24556,4.75119,5.62049,0.0104,0.02197,0.03266
1763444625.575,4.24557,4.75121,5.62051,0.01042,0.02199,0.03268
1763444625.675,4.24558,4.75123,5.62053,0.01042,0.02199,0.03268
1763444625.775,4.24559,4.75124,5.62054,0.01042,0.02199,0.03268
1763444625.875,4.24561,4.75127,5.62057,0.01042,0.02199,0.0327
1763444625.975,4.24562,4.75129,5.62058,0.01042,0.02199,0.0327
1763444626.075,4.24565,4.75132,5.62062,0.01042,0.02198,0.03267
1763444626.175,4.24566,4.75133,5.62063,0.01042,0.02198,0.03267
1763444626.275,4.24567,4.75135,5.62065,0.01042,0.02198,0.03267
1763444626.375,4.24568,4.75135,5.62066,0.01042,0.02198,0.03267
1763444626.475,4.24569,4.75136,5.62068,0.01041,0.02198,0.03268
1763444626.575,4.24571,4.75138,5.62071,0.01041,0.02198,0.03268
1763444626.675,4.24574,4.75139,5.62074,0.01041,0.02198,0.03268
1763444626.775,4.24575,4.7514,5.62075,0.01041,0.02198,0.03268
1763444626.875,4.24576,4.75141,5.62076,0.01041,0.02198,0.03268
1763444626.975,4.24578,4.75142,5.62077,0.01042,0.02196,0.03268
1763444627.075,4.2458,4.75142,5.62079,0.01042,0.02196,0.03268
1763444627.175,4.24582,4.75143,5.62082,0.01042,0.02196,0.03268
1763444627.275,4.24584,4.75145,5.62084,0.01042,0.02197,0.03268
1763444627.375,4.24585,4.75146,5.62086,0.01042,0.02197,0.03268
1763444627.475,4.24586,4.75147,5.62088,0.01041,0.02195,0.03268
1763444627.575,4.24587,4.75147,5.6209,0.01041,0.02195,0.03268
1763444627.675,4.24588,4.75148,5.62091,0.01041,0.02195,0.03268
1763444627.775,4.24588,4.75148,5.62093,0.01043,0.02196,0.03269
1763444627.875,4.24589,4.75148,5.62094,0.01043,0.02196,0.03269
1763444627.975,4.2459,4.75149,5.62097,0.01041,0.02195,0.03269
1763444628.075,4.2459,4.75149,5.62098,0.01041,0.02195,0.03269
1763444628.175,4.2459,4.75149,5.62099,0.01041,0.02195,0.03269
1763444628.275,4.2459,4.75149,5.621,0.01041,0.02195,0.03269
1763444628.375,4.2459,4.75149,5.62101,0.01041,0.02196,0.03268
1763444628.475,4.2459,4.75149,5.62102,0.01041,0.02196,0.03268
1763444628.575,4.2459,4.7515,5.62105,0.01042,0.02196,0.03269
1763444628.675,4.2459,4.7515,5.62106,0.01042,0.02196,0.03269
1763444628.775,4.2459,4.7515,5.62107,0.01042,0.02196,0.03269
1763444628.875,4.24591,4.75151,5.62108,0.01044,0.02198,0.0327
1763444628.975,4.24592,4.75152,5.62109,0.01044,0.02198,0.0327
1763444629.075,4.24595,4.75153,5.62111,0.01044,0.02198,0.0327
1763444629.175,4.24598,4.75154,5.62112,0.01043,0.02199,0.03272
1763444629.275,4.246,4.75155,5.62113,0.01043,0.02199,0.03272
1763444629.375,4.24602,4.75155,5.62114,0.01042,0.02198,0.03271
1763444629.475,4.24603,4.75156,5.62115,0.01042,0.02198,0.03271
1763444629.575,4.24605,4.75156,5.62117,0.01042,0.02198,0.03271
1763444629.675,4.24606,4.75157,5.62118,0.01042,0.02198,0.03271
1763444629.775,4.24607,4.75157,5.62119,0.01042,0.02198,0.03271
1763444629.875,4.24608,4.75158,5.62121,0.01042,0.02198,0.03271
1763444629.975,4.2461,4.75158,5.62123,0.01042,0.02199,0.03271
1763444630.075,4.24612,4.75159,5.62124,0.01042,0.02199,0.03271
1763444630.175,4.24614,4.7516,5.62126,0.01042,0.02199,0.03273
1763444630.275,4.24615,4.75161,5.62126,0.01042,0.02199,0.03273
1763444630.375,4.24617,4.75163,5.62128,0.01042,0.02199,0.03273
1763444630.475,4.24619,4.75164,5.62129,0.01042,0.022,0.03272
1763444630.575,4.2462,4.75164,5.6213,0.01042,0.022,0.03272
1763444630.675,4.24622,4.75164,5.62131,0.01042,0.022,0.03272
1763444630.775,4.24624,4.75165,5.62133,0.01042,0.022,0.03272
