time,x,y,z
1.763444616174999952e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.763444616275000095e+09,0.000000000000000000e+00,7.668782352960410863e-05,6.417899771477921010e-05
1.763444616375000000e+09,0.000000000000000000e+00,7.668782352960410863e-05,6.417899771477921010e-05
1.763444616474999905e+09,0.000000000000000000e+00,7.668782352960410863e-05,6.417899771477921010e-05
1.763444616575000048e+09,0.000000000000000000e+00,7.668782352960410863e-05,6.417899771477921010e-05
1.763444616674999952e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444616775000095e+09,1.364024095533600159e-04,1.006526381655110881e-04,3.554331406191817686e-05
1.763444616875000000e+09,1.364024095533600159e-04,1.006526381655110881e-04,3.554331406191817686e-05
1.763444616974999905e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617075000048e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617174999952e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617275000095e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617375000000e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617474999905e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444617575000048e+09,1.364024095533600159e-04,1.006526381655110881e-04,3.554331406191817686e-05
1.763444617674999952e+09,1.364024095533600159e-04,1.006526381655110881e-04,3.554331406191817686e-05
1.763444617775000095e+09,2.728052236341972484e-04,1.246173047743505489e-04,6.907807287382362557e-06
1.763444617875000000e+09,2.728052236341972484e-04,1.246173047743505489e-04,6.907807287382362557e-06
1.763444617974999905e+09,2.728052236341972484e-04,1.246173047743505489e-04,6.907807287382362557e-06
1.763444618075000048e+09,3.596766903185213840e-04,1.695166116117450628e-04,1.090710715872202416e-04
1.763444618174999952e+09,4.960790998718813457e-04,1.934814262476520694e-04,8.043538793435920839e-05
1.763444618275000095e+09,4.960790998718813457e-04,1.934814262476520694e-04,8.043538793435920839e-05
1.763444618375000000e+09,4.960790998718813457e-04,1.934814262476520694e-04,8.043538793435920839e-05
1.763444618474999905e+09,4.092076331875572643e-04,1.485821194102575555e-04,-2.172787636547865713e-05
1.763444618575000048e+09,2.728052236341972484e-04,1.246173047743505489e-04,6.907807287382362557e-06
1.763444618674999952e+09,1.859333524223958419e-04,1.564059694936276623e-04,-3.107663617600152535e-05
1.763444618775000095e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444618875000000e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444618974999905e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619075000048e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619174999952e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619275000095e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619375000000e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619474999905e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619575000048e+09,4.953094286903583960e-05,1.324411548577206828e-04,-2.440952523140492111e-06
1.763444619674999952e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444619775000095e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444619875000000e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444619974999905e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444620075000048e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444620174999952e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444620275000095e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444620375000000e+09,4.953094286903583960e-05,2.091289783873247915e-04,6.173804519163871799e-05
1.763444620474999905e+09,0.000000000000000000e+00,1.533756470592082173e-04,1.283579954295584202e-04
1.763444620575000048e+09,0.000000000000000000e+00,1.533756470592082173e-04,1.283579954295584202e-04
1.763444620674999952e+09,0.000000000000000000e+00,1.533756470592082173e-04,1.283579954295584202e-04
1.763444620775000095e+09,1.364024095533600159e-04,2.540286423308321878e-04,1.639016083487311874e-04
1.763444620875000000e+09,2.232742807651614224e-04,2.222399776115550744e-04,2.018860518121150889e-04
1.763444620974999905e+09,3.596766903185213840e-04,3.228926157770661354e-04,2.374293658740332658e-04
1.763444621075000048e+09,5.829509710836828064e-04,3.150687656936960014e-04,2.467781256845560933e-04
1.763444621174999952e+09,8.435657756641325384e-04,1.430152440603956712e-04,2.965521046032781362e-04
1.763444621275000095e+09,1.104180580244582162e-03,-2.903863467901762275e-05,3.463257846647455345e-04
1.763444621375000000e+09,1.191052046928906460e-03,-1.375149749008313532e-04,3.201310535350250204e-04
1.763444621474999905e+09,1.228392975271672041e-03,-3.017447944778291766e-04,3.605564495215493191e-04
1.763444621575000048e+09,1.054649637375546390e-03,-2.381676130663424413e-04,2.845877394731068165e-04
1.763444621674999952e+09,9.677781706912222002e-04,-2.063790963741328737e-04,2.466034728880481339e-04
1.763444621775000095e+09,8.809062994794208479e-04,-9.790260812525165162e-05,2.727980271394434561e-04
1.763444621875000000e+09,7.940348327950966581e-04,-6.611409143304202980e-05,2.348137605543847736e-04
1.763444621974999905e+09,7.071629615832953058e-04,-3.432542671376492989e-05,1.968293170910008993e-04
1.763444622075000048e+09,5.334200282146469262e-04,1.059394302002583682e-04,1.850397816356627850e-04
1.763444622174999952e+09,5.334200282146469262e-04,1.059394302002583682e-04,1.850397816356627850e-04
1.763444622275000095e+09,4.838890853456111001e-04,5.018609887214178040e-05,2.516597318735824601e-04
1.763444622375000000e+09,4.838890853456111001e-04,5.018609887214178040e-05,2.516597318735824601e-04
1.763444622474999905e+09,4.838890853456111001e-04,5.018609887214178040e-05,2.516597318735824601e-04
1.763444622575000048e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444622674999952e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444622775000095e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444622875000000e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444622974999905e+09,3.970172141338096936e-04,8.197476359141889386e-05,2.136752884101986128e-04
1.763444623075000048e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444623174999952e+09,3.970172141338096936e-04,1.586629442271358850e-04,2.778545849822324268e-04
1.763444623275000095e+09,4.838890853456111001e-04,1.268742795078587715e-04,3.158390284456163012e-04
1.763444623375000000e+09,6.202914948989711160e-04,1.508390941437657510e-04,2.872033447927553086e-04
1.763444623474999905e+09,7.071629615832953058e-04,1.190505774515561698e-04,3.251876113778139369e-04
1.763444623575000048e+09,7.071629615832953058e-04,1.190505774515561698e-04,3.251876113778139369e-04
1.763444623674999952e+09,8.435657756641325384e-04,1.430152440603956712e-04,2.965521046032781362e-04
1.763444623775000095e+09,8.435657756641325384e-04,1.430152440603956712e-04,2.965521046032781362e-04
1.763444623875000000e+09,7.071629615832953058e-04,1.190505774515561698e-04,3.251876113778139369e-04
1.763444623974999905e+09,6.202914948989711160e-04,1.508390941437657510e-04,2.872033447927553086e-04
1.763444624075000048e+09,6.202914948989711160e-04,7.415091350804877345e-05,2.230240482207214675e-04
1.763444624174999952e+09,5.334200282146469262e-04,1.059394302002583682e-04,1.850397816356627850e-04
1.763444624275000095e+09,5.829509710836828064e-04,1.616927615283749559e-04,1.184198313977430827e-04
1.763444624375000000e+09,6.324819139527186867e-04,2.174460928564915302e-04,5.179988115982338054e-05
1.763444624474999905e+09,7.193533806370427681e-04,1.856575761642819354e-04,8.978414774488206306e-05
1.763444624575000048e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444624674999952e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444624775000095e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444624875000000e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444624974999905e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444625075000048e+09,8.184157276687504135e-04,2.971647580647579284e-04,-4.345637317864706737e-05
1.763444625174999952e+09,8.184157276687504135e-04,2.971647580647579284e-04,-4.345637317864706737e-05
1.763444625275000095e+09,8.184157276687504135e-04,2.971647580647579284e-04,-4.345637317864706737e-05
1.763444625375000000e+09,8.184157276687504135e-04,2.971647580647579284e-04,-4.345637317864706737e-05
1.763444625474999905e+09,8.184157276687504135e-04,2.971647580647579284e-04,-4.345637317864706737e-05
1.763444625575000048e+09,8.184157276687504135e-04,3.738529387004749195e-04,2.072292339338671955e-05
1.763444625674999952e+09,8.184157276687504135e-04,3.738529387004749195e-04,2.072292339338671955e-05
1.763444625775000095e+09,9.052871943530747118e-04,3.420644220082653519e-04,5.870718997844537497e-05
1.763444625875000000e+09,9.548181372221104836e-04,3.978177533363819532e-04,-7.912760259474300138e-06
1.763444625974999905e+09,9.548181372221104836e-04,3.978177533363819532e-04,-7.912760259474300138e-06
1.763444626075000048e+09,9.548181372221104836e-04,3.211295727006649621e-04,-7.209205683150808706e-05
1.763444626174999952e+09,9.548181372221104836e-04,3.211295727006649621e-04,-7.209205683150808706e-05
1.763444626275000095e+09,9.548181372221104836e-04,3.211295727006649621e-04,-7.209205683150808706e-05
1.763444626375000000e+09,9.548181372221104836e-04,3.211295727006649621e-04,-7.209205683150808706e-05
1.763444626474999905e+09,1.004349080091146255e-03,3.768829040287814550e-04,-1.387120070694278706e-04
1.763444626575000048e+09,9.548181372221104836e-04,3.211295727006649621e-04,-7.209205683150808706e-05
1.763444626674999952e+09,9.174776134068221740e-04,3.319835971913869411e-04,-2.408752713692657226e-04
1.763444626775000095e+09,9.174776134068221740e-04,3.319835971913869411e-04,-2.408752713692657226e-04
1.763444626875000000e+09,9.174776134068221740e-04,3.319835971913869411e-04,-2.408752713692657226e-04
1.763444626974999905e+09,1.004349080091146255e-03,3.001950804991773735e-04,-2.028910047842070671e-04
1.763444627075000048e+09,1.004349080091146255e-03,3.001950804991773735e-04,-2.028910047842070671e-04
1.763444627174999952e+09,1.004349080091146255e-03,3.001950804991773735e-04,-2.028910047842070671e-04
1.763444627275000095e+09,1.091220951302947825e-03,1.917185922502961785e-04,-2.290855590356023893e-04
1.763444627375000000e+09,1.091220951302947825e-03,1.917185922502961785e-04,-2.290855590356023893e-04
1.763444627474999905e+09,1.091220951302947825e-03,1.917185922502961785e-04,-2.290855590356023893e-04
1.763444627575000048e+09,1.091220951302947825e-03,1.917185922502961785e-04,-2.290855590356023893e-04
1.763444627674999952e+09,1.091220951302947825e-03,1.917185922502961785e-04,-2.290855590356023893e-04
1.763444627775000095e+09,1.140751894171983596e-03,2.474719235784127798e-04,-2.957055092735220644e-04
1.763444627875000000e+09,1.227623360856307678e-03,2.156834068862031580e-04,-2.577212426884633819e-04
1.763444627974999905e+09,1.227623360856307678e-03,1.389952262504861669e-04,-3.219005392604971688e-04
1.763444628075000048e+09,1.227623360856307678e-03,1.389952262504861669e-04,-3.219005392604971688e-04
1.763444628174999952e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628275000095e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628375000000e+09,1.314495232068109030e-03,1.838947421669260445e-04,-2.197367992250795076e-04
1.763444628474999905e+09,1.314495232068109030e-03,1.838947421669260445e-04,-2.197367992250795076e-04
1.763444628575000048e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628674999952e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628775000095e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628875000000e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444628974999905e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444629075000048e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444629174999952e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444629275000095e+09,1.314495232068109030e-03,1.072065615312090534e-04,-2.839160957971132945e-04
1.763444629375000000e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444629474999905e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444629575000048e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444629674999952e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444629775000095e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444629875000000e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444629974999905e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444630075000048e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444630174999952e+09,1.264964289199073258e-03,1.281414108388094432e-04,-1.531168489871598325e-04
1.763444630275000095e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444630375000000e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444630474999905e+09,1.264964289199073258e-03,1.281414108388094432e-04,-1.531168489871598325e-04
1.763444630575000048e+09,1.264964289199073258e-03,1.281414108388094432e-04,-1.531168489871598325e-04
1.763444630674999952e+09,1.264964289199073258e-03,1.281414108388094432e-04,-1.531168489871598325e-04
1.763444630775000095e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444630875000000e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444630974999905e+09,1.178092417987271906e-03,8.324189492236956558e-05,-2.552805890225774937e-04
1.763444631075000048e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444631174999952e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444631275000095e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631375000000e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631474999905e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631575000048e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631674999952e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631775000095e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631875000000e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444631974999905e+09,1.264964289199073258e-03,5.145323020309245212e-05,-2.172961455591936194e-04
1.763444632075000048e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444632174999952e+09,1.178092417987271906e-03,1.599300755580865567e-04,-1.911012924505437068e-04
1.763444632275000095e+09,1.041690008433911836e-03,2.126530844517837400e-04,-9.828661108290346346e-05
1.763444632375000000e+09,1.041690008433911836e-03,2.126530844517837400e-04,-9.828661108290346346e-05
1.763444632474999905e+09,9.052871943530747118e-04,1.886884178429442250e-04,-6.965110430836766271e-05
1.763444632575000048e+09,8.557562514840388315e-04,1.329350865148276237e-04,-3.031154070447933391e-06
1.763444632674999952e+09,7.688847847997146417e-04,1.647236032070372184e-04,-4.101542065550658881e-05
1.763444632775000095e+09,6.324819139527186867e-04,1.407582693268874215e-04,-1.237911655495584312e-05
1.763444632875000000e+09,5.456100427409172260e-04,1.725469340461645350e-04,-5.036356001833971747e-05
1.763444632974999905e+09,4.587385760565930904e-04,2.043354507383741297e-04,-8.834782660339838645e-05
1.763444633075000048e+09,3.718671093722689548e-04,2.361239674305837244e-04,-1.263320931884570554e-04
1.763444633174999952e+09,3.223361665032330745e-04,1.803706361024671502e-04,-5.971214295053732610e-05
1.763444633275000095e+09,2.354642952914316951e-04,2.121593008217442637e-04,-9.769658641392121401e-05
1.763444633375000000e+09,3.223361665032330745e-04,1.803706361024671502e-04,-5.971214295053732610e-05
1.763444633474999905e+09,4.092076331875572643e-04,1.485821194102575555e-04,-2.172787636547865713e-05
1.763444633575000048e+09,4.465481570028455739e-04,-1.564755213967273563e-05,1.869734274272049040e-05
