relative_time_s,latency_ms
6.875070333480834961e+00,-9.143114089965820312e+00
6.975070238113403320e+00,-8.517980575561523438e+00
7.075070381164550781e+00,-7.793426513671875000e+00
7.175070285797119141e+00,-7.089614868164062500e+00
7.275070428848266602e+00,-6.373167037963867188e+00
7.375070333480834961e+00,-5.680561065673828125e+00
7.475070238113403320e+00,-5.008935928344726562e+00
7.575070381164550781e+00,-4.353046417236328125e+00
7.675070285797119141e+00,-3.761768341064453125e+00
7.775070428848266602e+00,-2.970457077026367188e+00
7.875070333480834961e+00,-2.235174179077148438e+00
7.975070238113403320e+00,-1.453638076782226562e+00
8.075070381164550781e+00,-6.177425384521484375e-01
8.175070285797119141e+00,1.168251037597656250e-02
8.275070428848266602e+00,-9.409189224243164062e+00
8.375070333480834961e+00,-8.782386779785156250e+00
8.475070238113403320e+00,-7.791042327880859375e+00
8.575070381164550781e+00,-7.108926773071289062e+00
8.675070285797119141e+00,-6.337881088256835938e+00
8.775070428848266602e+00,-5.629777908325195312e+00
8.875070333480834961e+00,-4.533767700195312500e+00
8.975070238113403320e+00,-3.890275955200195312e+00
9.075070381164550781e+00,-3.291606903076171875e+00
9.175070285797119141e+00,-2.586364746093750000e+00
9.275070428848266602e+00,-1.887559890747070312e+00
9.375070333480834961e+00,-1.057624816894531250e+00
9.475070238113403320e+00,-3.905296325683593750e-01
9.575070381164550781e+00,-9.642601013183593750e+00
9.675070285797119141e+00,-7.212162017822265625e+00
9.775070428848266602e+00,-6.425619125366210938e+00
9.875070333480834961e+00,-4.012584686279296875e+00
9.975070238113403320e+00,-3.380775451660156250e+00
1.007507038116455078e+01,-2.743482589721679688e+00
1.017507028579711914e+01,-2.012968063354492188e+00
1.027507042884826660e+01,-1.232862472534179688e+00
1.037507033348083496e+01,8.583068847656250000e-02
1.047507023811340332e+01,-9.325265884399414062e+00
1.057507038116455078e+01,-8.713483810424804688e+00
1.067507028579711914e+01,-7.693290710449218750e+00
1.077507042884826660e+01,-6.986141204833984375e+00
1.087507033348083496e+01,-6.348609924316406250e+00
1.097507023811340332e+01,-5.681276321411132812e+00
1.107507038116455078e+01,-4.985570907592773438e+00
1.117507028579711914e+01,-4.126071929931640625e+00
1.127507042884826660e+01,-3.493785858154296875e+00
1.137507033348083496e+01,-2.733707427978515625e+00
1.147507023811340332e+01,-2.055168151855468750e+00
1.157507038116455078e+01,-1.242160797119140625e+00
1.167507028579711914e+01,-6.530284881591796875e-01
1.177507042884826660e+01,2.000331878662109375e-01
1.187507033348083496e+01,-9.262561798095703125e+00
1.197507023811340332e+01,-8.673429489135742188e+00
1.207507038116455078e+01,-6.938457489013671875e+00
1.217507028579711914e+01,-6.253719329833984375e+00
1.227507042884826660e+01,-1.654863357543945312e+00
1.237507033348083496e+01,-8.578300476074218750e-01
1.247507023811340332e+01,-1.023721694946289062e+01
1.257507038116455078e+01,-9.658098220825195312e+00
1.267507028579711914e+01,-8.532047271728515625e+00
1.277507042884826660e+01,-7.936477661132812500e+00
1.287507033348083496e+01,2.956390380859375000e+00
1.297507023811340332e+01,-6.327867507934570312e+00
1.307507038116455078e+01,-4.625797271728515625e+00
1.317507028579711914e+01,-4.024028778076171875e+00
1.327507042884826660e+01,-3.342866897583007812e+00
1.337507033348083496e+01,-2.686738967895507812e+00
1.347507023811340332e+01,-1.975059509277343750e+00
1.357507038116455078e+01,-9.515285491943359375e-01
1.367507028579711914e+01,-1.008510589599609375e-01
1.377507042884826660e+01,-9.518146514892578125e+00
1.387507033348083496e+01,-6.908178329467773438e+00
1.397507023811340332e+01,-6.188869476318359375e+00
1.407507038116455078e+01,-5.238056182861328125e+00
1.417507028579711914e+01,-4.493474960327148438e+00
1.427507042884826660e+01,-3.896474838256835938e+00
1.437507033348083496e+01,-2.384901046752929688e+00
1.447507023811340332e+01,8.341550827026367188e+00
1.457507038116455078e+01,-9.310245513916015625e-01
1.467507028579711914e+01,-1.029682159423828125e+01
1.477507042884826660e+01,-8.720874786376953125e+00
1.487507033348083496e+01,-8.077383041381835938e+00
1.497507023811340332e+01,-7.444858551025390625e+00
1.507507038116455078e+01,-6.777286529541015625e+00
1.517507028579711914e+01,-5.813598632812500000e+00
1.527507042884826660e+01,-4.460096359252929688e+00
1.537507033348083496e+01,-3.868341445922851562e+00
1.547507023811340332e+01,-2.957105636596679688e+00
1.557507038116455078e+01,-2.204179763793945312e+00
1.567507028579711914e+01,-1.516342163085937500e+00
1.577507042884826660e+01,-7.951259613037109375e-01
1.587507033348083496e+01,4.487037658691406250e-01
1.597507023811340332e+01,-8.523464202880859375e+00
1.607507038116455078e+01,-7.780075073242187500e+00
1.617507028579711914e+01,-7.004976272583007812e+00
1.627507042884826660e+01,-6.338596343994140625e+00
1.637507033348083496e+01,-5.740165710449218750e+00
1.647507023811340332e+01,-4.015207290649414062e+00
1.657507038116455078e+01,-3.375530242919921875e+00
1.667507028579711914e+01,-2.707958221435546875e+00
1.677507042884826660e+01,-1.924753189086914062e+00
1.687507033348083496e+01,-9.970664978027343750e-01
1.697507023811340332e+01,-2.691745758056640625e-01
1.707507038116455078e+01,-9.719133377075195312e+00
1.717507028579711914e+01,-8.301258087158203125e+00
1.727507042884826660e+01,-7.465124130249023438e+00
1.737507033348083496e+01,-6.834506988525390625e+00
1.747507023811340332e+01,-6.196975708007812500e+00
1.757507038116455078e+01,-4.665136337280273438e+00
1.767507028579711914e+01,-4.083633422851562500e+00
1.777507042884826660e+01,-3.403663635253906250e+00
1.787507033348083496e+01,-1.756429672241210938e+00
1.797507023811340332e+01,-5.087852478027343750e-01
1.807507038116455078e+01,-9.732007980346679688e+00
1.817507028579711914e+01,-9.088277816772460938e+00
1.827507042884826660e+01,-6.693601608276367188e+00
1.837507033348083496e+01,-4.611015319824218750e+00
1.847507023811340332e+01,-3.991127014160156250e+00
1.857507038116455078e+01,-2.124786376953125000e+00
1.867507028579711914e+01,-1.425981521606445312e+00
1.877507042884826660e+01,-6.451606750488281250e-01
1.887507033348083496e+01,1.740455627441406250e-02
1.897507023811340332e+01,-9.342670440673828125e+00
1.907507038116455078e+01,-8.711099624633789062e+00
1.917507028579711914e+01,-7.949352264404296875e+00
1.927507042884826660e+01,-4.013299942016601562e+00
1.937507033348083496e+01,-3.413438796997070312e+00
1.947507023811340332e+01,-2.726316452026367188e+00
1.957507038116455078e+01,-1.965999603271484375e+00
1.967507028579711914e+01,-1.212835311889648438e+00
1.977507042884826660e+01,-6.241798400878906250e-01
1.987507033348083496e+01,1.788139343261718750e-02
1.997507023811340332e+01,-8.417367935180664062e+00
2.007507038116455078e+01,-7.801771163940429688e+00
2.017507028579711914e+01,-7.072448730468750000e+00
2.027507042884826660e+01,-6.306648254394531250e+00
2.037507033348083496e+01,-5.381822586059570312e+00
2.047507023811340332e+01,-4.437446594238281250e+00
2.057507038116455078e+01,-3.809928894042968750e+00
2.067507028579711914e+01,-3.264904022216796875e+00
2.077507042884826660e+01,-2.559900283813476562e+00
2.087507033348083496e+01,-1.919031143188476562e+00
2.097507023811340332e+01,-1.301288604736328125e+00
2.107507038116455078e+01,-6.558895111083984375e-01
2.117507028579711914e+01,-1.007556915283203125e+01
2.127507042884826660e+01,-9.530305862426757812e+00
2.137507033348083496e+01,-7.749319076538085938e+00
2.147507023811340332e+01,-6.594896316528320312e+00
2.157507038116455078e+01,-5.944728851318359375e+00
2.167507028579711914e+01,-4.388093948364257812e+00
2.177507042884826660e+01,-3.757476806640625000e+00
2.187507033348083496e+01,-3.158330917358398438e+00
2.197507023811340332e+01,-2.524852752685546875e+00
2.207507038116455078e+01,-1.878976821899414062e+00
2.217507028579711914e+01,-1.258611679077148438e+00
2.227507042884826660e+01,-4.723072052001953125e-01
2.237507033348083496e+01,-9.802341461181640625e+00
2.247507023811340332e+01,-7.581949234008789062e+00
2.257507038116455078e+01,-6.767749786376953125e+00
2.267507028579711914e+01,-6.042242050170898438e+00
2.277507042884826660e+01,-5.324125289916992188e+00
2.287507033348083496e+01,-4.582643508911132812e+00
2.297507023811340332e+01,-3.426074981689453125e+00
2.307507038116455078e+01,-2.578258514404296875e+00
2.317507028579711914e+01,-1.944303512573242188e+00
2.327507042884826660e+01,-1.091957092285156250e+00
2.337507033348083496e+01,-2.431869506835937500e-01
2.347507023811340332e+01,-9.602785110473632812e+00
2.357507038116455078e+01,-8.983135223388671875e+00
2.367507028579711914e+01,-8.309841156005859375e+00
2.377507042884826660e+01,-7.707118988037109375e+00
2.387507033348083496e+01,-7.084131240844726562e+00
2.397507023811340332e+01,-6.297826766967773438e+00
2.407507038116455078e+01,-5.420684814453125000e+00
2.417507028579711914e+01,-4.653453826904296875e+00
2.427507042884826660e+01,-4.071474075317382812e+00
2.437507033348083496e+01,-3.445863723754882812e+00
2.447507023811340332e+01,-2.855539321899414062e+00
2.457507038116455078e+01,-2.137660980224609375e+00
2.467507028579711914e+01,-1.306772232055664062e+00
2.477507042884826660e+01,-6.744861602783203125e-01
2.487507033348083496e+01,-5.960464477539062500e-02
2.497507023811340332e+01,-6.561279296875000000e+00
2.507507038116455078e+01,-5.556106567382812500e+00
2.517507028579711914e+01,-4.168510437011718750e+00
2.527507042884826660e+01,-3.553628921508789062e+00
2.537507033348083496e+01,-2.915382385253906250e+00
2.547507023811340332e+01,-2.125978469848632812e+00
2.557507038116455078e+01,-1.375913619995117188e+00
2.567507028579711914e+01,-6.823539733886718750e-01
2.577507042884826660e+01,-8.845329284667968750e-02
2.587507033348083496e+01,-9.518146514892578125e+00
2.597507023811340332e+01,-8.308649063110351562e+00
2.607507038116455078e+01,-7.589578628540039062e+00
2.617507028579711914e+01,-6.947517395019531250e+00
2.627507042884826660e+01,-6.278038024902343750e+00
2.637507033348083496e+01,-5.601167678833007812e+00
2.647507023811340332e+01,-4.969835281372070312e+00
2.657507038116455078e+01,-4.316568374633789062e+00
2.667507028579711914e+01,-3.730535507202148438e+00
2.677507042884826660e+01,-3.111600875854492188e+00
2.687507033348083496e+01,-2.508640289306640625e+00
2.697507023811340332e+01,-1.885890960693359375e+00
2.707507038116455078e+01,-1.203298568725585938e+00
2.717507028579711914e+01,-5.366802215576171875e-01
2.727507042884826660e+01,1.342296600341796875e-01
2.737507033348083496e+01,6.763935089111328125e-01
2.747507023811340332e+01,-8.501529693603515625e+00
2.757507038116455078e+01,1.229286193847656250e+01
2.767507028579711914e+01,-7.045745849609375000e+00
2.777507042884826660e+01,-6.395578384399414062e+00
2.787507033348083496e+01,-5.482435226440429688e+00
