relative_time_s,latency_ms
1.450285291671752930e+01,3.673787117004394531e+02
1.470276832580566406e+01,3.585877418518066406e+02
1.480283522605895996e+01,3.692374229431152344e+02
1.490285229682922363e+01,3.700237274169921875e+02
1.510284256935119629e+01,3.717784881591796875e+02
1.520289111137390137e+01,3.724591732025146484e+02
1.540288448333740234e+01,3.636898994445800781e+02
1.560283493995666504e+01,3.763780593872070312e+02
1.570354151725769043e+01,3.663187026977539062e+02
1.590254855155944824e+01,3.720009326934814453e+02
1.600277495384216309e+01,3.724730014801025391e+02
1.610284256935119629e+01,3.741767406463623047e+02
1.620294213294982910e+01,3.747634887695312500e+02
1.640260910987854004e+01,3.685641288757324219e+02
1.650286126136779785e+01,3.689532279968261719e+02
1.660291004180908203e+01,3.696763515472412109e+02
1.680354928970336914e+01,3.707981109619140625e+02
1.700284600257873535e+01,3.629202842712402344e+02
1.720269894599914551e+01,3.845226764678955078e+02
1.730275583267211914e+01,3.751888275146484375e+02
1.740279150009155273e+01,3.763611316680908203e+02
1.760268187522888184e+01,3.779799938201904297e+02
1.780266737937927246e+01,3.799064159393310547e+02
1.790287852287292480e+01,3.803720474243164062e+02
1.810266852378845215e+01,3.822729587554931641e+02
1.830257987976074219e+01,3.742058277130126953e+02
1.840271091461181641e+01,3.747546672821044922e+02
1.850286078453063965e+01,3.652753829956054688e+02
1.860355710983276367e+01,3.752923011779785156e+02
1.880293345451354980e+01,3.779764175415039062e+02
1.900291132926940918e+01,3.692824840545654297e+02
1.920273447036743164e+01,3.607301712036132812e+02
1.930282711982727051e+01,3.715550899505615234e+02
1.940284085273742676e+01,3.823046684265136719e+02
1.960288858413696289e+01,3.741476535797119141e+02
1.980290198326110840e+01,3.763720989227294922e+02
1.990290570259094238e+01,3.679835796356201172e+02
2.010273575782775879e+01,3.794703483581542969e+02
2.020291757583618164e+01,3.799774646759033203e+02
2.040263152122497559e+01,3.716852664947509766e+02
2.050284934043884277e+01,3.720893859863281250e+02
2.060294985771179199e+01,3.726258277893066406e+02
2.080289101600646973e+01,3.753111362457275391e+02
2.100289988517761230e+01,3.765859603881835938e+02
2.120289373397827148e+01,3.690667152404785156e+02
2.140289330482482910e+01,3.704895973205566406e+02
2.160288429260253906e+01,3.621070384979248047e+02
2.170289683341979980e+01,3.727772235870361328e+02
2.180291295051574707e+01,3.733634948730468750e+02
2.190292525291442871e+01,3.638834953308105469e+02
2.210266542434692383e+01,3.758604526519775391e+02
2.230259656906127930e+01,3.782620429992675781e+02
2.240289163589477539e+01,3.685424327850341797e+02
2.260295557975769043e+01,3.700397014617919922e+02
2.280282759666442871e+01,3.719112873077392578e+02
2.300270414352416992e+01,3.750042915344238281e+02
2.310275864601135254e+01,3.757188320159912109e+02
2.320287823677062988e+01,3.770852088928222656e+02
2.330290460586547852e+01,3.776738643646240234e+02
2.350265550613403320e+01,3.693087100982666016e+02
2.360295653343200684e+01,3.696737289428710938e+02
2.380277228355407715e+01,3.716821670532226562e+02
2.390282845497131348e+01,3.723392486572265625e+02
2.400297451019287109e+01,3.727955818176269531e+02
2.420277142524719238e+01,3.742363452911376953e+02
2.430278325080871582e+01,3.852276802062988281e+02
2.440294504165649414e+01,3.757197856903076172e+02
2.450353431701660156e+01,3.660502433776855469e+02
2.470274853706359863e+01,3.782765865325927734e+02
2.480286502838134766e+01,3.787987232208251953e+02
2.490292286872863770e+01,3.693435192108154297e+02
2.510292577743530273e+01,3.606104850769042969e+02
2.530289387702941895e+01,3.721027374267578125e+02
2.540291905403137207e+01,3.771378993988037109e+02
2.560278511047363281e+01,3.700597286224365234e+02
2.570284557342529297e+01,3.605618476867675781e+02
2.590353369712829590e+01,3.713972568511962891e+02
2.610279440879821777e+01,3.637027740478515625e+02
2.620291852951049805e+01,3.642244338989257812e+02
2.640285658836364746e+01,3.748931884765625000e+02
2.660273742675781250e+01,3.564498424530029297e+02
2.680275464057922363e+01,3.710825443267822266e+02
2.690292501449584961e+01,3.746879100799560547e+02
2.710273599624633789e+01,3.777878284454345703e+02
2.730273866653442383e+01,3.790121078491210938e+02
2.740295267105102539e+01,3.693783283233642578e+02
2.760259294509887695e+01,3.718760013580322266e+02
2.770272541046142578e+01,3.723938465118408203e+02
2.780298042297363281e+01,3.627052307128906250e+02
2.800275254249572754e+01,3.648302555084228516e+02
2.810296177864074707e+01,3.551785945892333984e+02
2.830252766609191895e+01,3.690450191497802734e+02
2.840267038345336914e+01,3.695054054260253906e+02
2.850268411636352539e+01,3.601086139678955078e+02
2.860360455513000488e+01,3.700735569000244141e+02
2.880280041694641113e+01,3.749129772186279297e+02
2.900270485877990723e+01,3.571333885192871094e+02
2.910271859169006348e+01,3.778564929962158203e+02
2.930291962623596191e+01,3.689649105072021484e+02
2.950277113914489746e+01,3.706800937652587891e+02
2.960293793678283691e+01,3.511030673980712891e+02
2.980277681350708008e+01,3.738503456115722656e+02
2.990294981002807617e+01,3.744733333587646484e+02
3.010296010971069336e+01,3.668580055236816406e+02
3.030270147323608398e+01,3.582620620727539062e+02
3.040297913551330566e+01,3.686439990997314453e+02
3.060259795188903809e+01,3.703517913818359375e+02
3.070295739173889160e+01,3.605978488922119141e+02
3.080354905128479004e+01,3.709087371826171875e+02
3.100268268585205078e+01,3.730723857879638672e+02
3.110293388366699219e+01,3.713896274566650391e+02
3.130259823799133301e+01,3.788361549377441406e+02
3.140294003486633301e+01,3.690254688262939453e+02
3.160276579856872559e+01,3.704810142517089844e+02
3.170356225967407227e+01,3.704011440277099609e+02
3.190272212028503418e+01,3.626172542572021484e+02
3.200272774696350098e+01,3.732743263244628906e+02
3.210275673866271973e+01,3.537118434906005859e+02
3.230279135704040527e+01,3.654181957244873047e+02
3.250292253494262695e+01,3.613545894622802734e+02
3.260296344757080078e+01,3.620607852935791016e+02
3.280293655395507812e+01,3.796715736389160156e+02
3.290296530723571777e+01,3.703241348266601562e+02
3.310277009010314941e+01,3.720765113830566406e+02
3.330235600471496582e+01,3.740966320037841797e+02
3.340273523330688477e+01,3.642723560333251953e+02
3.350283169746398926e+01,3.653266429901123047e+02
3.370291161537170410e+01,3.674530982971191406e+02
3.380304598808288574e+01,3.678910732269287109e+02
3.400262141227722168e+01,3.706314563751220703e+02
3.410269284248352051e+01,3.611354827880859375e+02
3.420277404785156250e+01,3.647513389587402344e+02
3.430293750762939453e+01,3.756484985351562500e+02
3.440296959877014160e+01,3.662991523742675781e+02
3.460296368598937988e+01,3.684458732604980469e+02
3.480262684822082520e+01,3.843514919281005859e+02
3.490278244018554688e+01,3.749506473541259766e+02
3.510265016555786133e+01,3.780250549316406250e+02
3.520271492004394531e+01,3.689060211181640625e+02
3.530306291580200195e+01,3.694338798522949219e+02
