t_rel,t,speed,yaw_target_deg,yaw_lidar_current_deg,err_current_deg,yaw_lidar_calib_deg,err_calib_deg
272.799672,1766377274.206072,0.600348,-130.007861,-170.663741,-40.655880,-129.769225,0.238636
272.899999,1766377274.306399,0.620330,-127.094990,-167.656539,-40.561549,-126.762023,0.332967
274.700147,1766377276.106547,0.501119,-87.528840,-127.923779,-40.394939,-87.029264,0.499576
274.799292,1766377276.205693,0.603664,-87.892489,-128.367033,-40.474544,-87.472517,0.419972
274.900544,1766377276.306945,0.655458,-88.346653,-128.886427,-40.539774,-87.991911,0.354742
275.001505,1766377276.407905,0.640271,-88.158148,-128.888641,-40.730493,-87.994125,0.164022
275.099524,1766377276.505924,0.626565,-86.979264,-127.899410,-40.920146,-87.004894,-0.025630
275.199224,1766377276.605624,0.546119,-86.736656,-127.711719,-40.975062,-86.817203,-0.080546
275.300367,1766377276.706768,0.646423,-86.496081,-127.656145,-41.160065,-86.761630,-0.265549
275.400319,1766377276.806720,0.743800,-86.917659,-127.777436,-40.859777,-86.882920,0.034739
275.500366,1766377276.906766,0.682912,-87.753756,-128.577660,-40.823904,-87.683144,0.070611
275.599115,1766377277.005515,0.670854,-87.623754,-128.598360,-40.974606,-87.703844,-0.080090
275.700259,1766377277.106659,0.581502,-87.054066,-127.994370,-40.940303,-87.099854,-0.045788
275.799244,1766377277.205645,0.630299,-86.954625,-127.958120,-41.003495,-87.063604,-0.108979
275.904898,1766377277.311299,0.696980,-87.014746,-127.925960,-40.911214,-87.031444,-0.016698
275.999526,1766377277.405927,0.748999,-87.798838,-128.454000,-40.655162,-87.559485,0.239354
276.099227,1766377277.505627,0.641260,-88.565752,-129.087808,-40.522056,-88.193292,0.372460
276.199157,1766377277.605557,0.631337,-88.471133,-129.089039,-40.617906,-88.194524,0.276610
276.399046,1766377277.805446,0.586679,-87.438674,-128.033011,-40.594337,-87.138495,0.300179
276.499381,1766377277.905782,0.655860,-87.646064,-128.168361,-40.522297,-87.273845,0.372219
276.601429,1766377278.007829,0.600643,-88.563105,-129.050875,-40.487770,-88.156359,0.406746
276.699131,1766377278.105531,0.573640,-89.036314,-129.549108,-40.512795,-88.654593,0.381721
276.800009,1766377278.206410,0.630295,-88.792214,-129.328042,-40.535828,-88.433526,0.358688
276.899211,1766377278.305612,0.590769,-87.783051,-128.243412,-40.460361,-87.348896,0.434155
276.999169,1766377278.405569,0.556773,-87.342183,-127.811768,-40.469585,-86.917252,0.424931
277.099314,1766377278.505715,0.674078,-87.412121,-127.895641,-40.483520,-87.001125,0.410996
277.199113,1766377278.605514,0.684872,-88.215477,-128.706499,-40.491022,-87.811983,0.403494
277.299148,1766377278.705549,0.669052,-88.783609,-129.278721,-40.495112,-88.384206,0.399403
277.399021,1766377278.805421,0.692685,-88.445280,-128.961029,-40.515750,-88.066514,0.378766
277.499129,1766377278.905529,0.603417,-87.289898,-127.750841,-40.460943,-86.856325,0.433573
277.599224,1766377279.005625,0.566494,-86.867867,-127.327587,-40.459720,-86.433071,0.434796
277.699194,1766377279.105594,0.650273,-86.997634,-127.407539,-40.409905,-86.513023,0.484611
277.799144,1766377279.205544,0.605492,-87.900239,-128.300098,-40.399859,-87.405582,0.494657
277.899949,1766377279.306350,0.612610,-88.487343,-128.895351,-40.408008,-88.000835,0.486508
277.999192,1766377279.405593,0.720609,-88.166671,-128.632539,-40.465868,-87.738023,0.428648
278.099395,1766377279.505795,0.601686,-87.262764,-127.660080,-40.397315,-86.765564,0.497200
278.200037,1766377279.606437,0.565380,-86.912872,-127.316120,-40.403248,-86.421604,0.491267
278.299965,1766377279.706365,0.712131,-87.222133,-127.565563,-40.343429,-86.671047,0.551086
278.399357,1766377279.805758,0.659216,-87.978975,-128.304485,-40.325511,-87.409970,0.569005
278.499659,1766377279.906059,0.637992,-88.889440,-129.157990,-40.268551,-88.263474,0.625965
278.600155,1766377280.006555,0.689331,-91.236754,-131.464804,-40.228050,-90.570288,0.666466
281.299347,1766377282.705747,0.533133,-143.919331,175.446613,-40.634055,-143.658871,0.260460
281.399597,1766377282.805998,0.533014,-144.496736,174.896198,-40.607065,-144.209286,0.287451
281.499160,1766377282.905560,0.535444,-144.872308,174.498012,-40.629681,-144.607473,0.264835
281.599432,1766377283.005832,0.664844,-144.602847,174.683508,-40.713645,-144.421976,0.180871
281.700016,1766377283.106417,0.686612,-144.002507,175.163707,-40.833786,-143.941777,0.060730
281.798962,1766377283.205363,0.638818,-143.681656,175.509223,-40.809122,-143.596262,0.085394
281.900290,1766377283.306690,0.628617,-144.062335,175.340384,-40.597281,-143.765100,0.297234
281.999223,1766377283.405623,0.623364,-144.609236,174.828734,-40.562030,-144.276750,0.332486
282.100376,1766377283.506776,0.559347,-144.920682,174.546340,-40.532978,-144.559144,0.361538
282.199613,1766377283.606013,0.559781,-144.768651,174.641246,-40.590103,-144.464239,0.304413
282.299340,1766377283.705741,0.523153,-144.049343,175.390729,-40.559928,-143.714755,0.334588
282.399189,1766377283.805590,0.524688,-143.817352,175.615689,-40.566959,-143.489795,0.327557
282.499336,1766377283.905737,0.599705,-144.081499,175.335423,-40.583079,-143.770062,0.311437
282.599257,1766377284.005657,0.617417,-144.924201,174.482676,-40.593123,-144.622809,0.301393
282.699123,1766377284.105523,0.616267,-145.438671,173.949039,-40.612290,-145.156446,0.282225
282.799131,1766377284.205532,0.677693,-145.249469,174.154837,-40.595693,-144.950647,0.298822
282.899495,1766377284.305896,0.620740,-144.481368,174.948334,-40.570298,-144.157151,0.324218
282.999486,1766377284.405886,0.603424,-144.048944,175.372628,-40.578428,-143.732856,0.316088
283.100167,1766377284.506567,0.655365,-144.165732,175.305504,-40.528764,-143.799980,0.365752
283.199456,1766377284.605857,0.603334,-145.003840,174.433029,-40.563131,-144.672455,0.331385
283.400355,1766377284.806756,0.566202,-145.418020,173.964043,-40.617937,-145.141441,0.276579
283.499020,1766377284.905421,0.606603,-144.687215,174.740866,-40.571919,-144.364618,0.322597
283.599181,1766377285.005582,0.560711,-144.241311,175.209405,-40.549284,-143.896080,0.345231
283.699257,1766377285.105658,0.623014,-144.542856,174.944527,-40.512617,-144.160957,0.381899
283.800203,1766377285.206604,0.565503,-145.237055,174.184413,-40.578532,-144.921071,0.315984
283.899611,1766377285.306012,0.534779,-145.652122,173.766996,-40.580882,-145.338488,0.313633
284.000415,1766377285.406816,0.615531,-145.374330,174.025173,-40.600498,-145.080312,0.294018
284.099779,1766377285.506179,0.562093,-144.497500,174.910545,-40.591956,-144.194940,0.302560
284.201098,1766377285.607498,0.523211,-144.079858,175.340553,-40.579589,-143.764931,0.314926
284.299210,1766377285.705611,0.698080,-144.418784,175.026498,-40.554718,-144.078986,0.339798
284.400060,1766377285.806461,0.645029,-145.338150,174.065981,-40.595869,-145.039503,0.298646
284.499245,1766377285.905646,0.632076,-145.834794,173.597517,-40.567688,-145.507967,0.326828
284.600130,1766377286.006530,0.729758,-145.727405,173.686514,-40.586080,-145.418970,0.308435
284.699190,1766377286.105591,0.656510,-144.891973,174.543626,-40.564401,-144.561858,0.330115
284.799179,1766377286.205580,0.584578,-145.731361,173.780606,-40.488033,-145.324878,0.406482
284.899985,1766377286.306386,0.639655,-148.984015,170.586946,-40.429040,-148.518539,0.465476
285.000399,1766377286.406800,0.559063,-152.680684,166.842368,-40.476948,-152.263116,0.417568
285.103561,1766377286.509961,0.507870,-155.751884,163.756117,-40.491998,-155.349367,0.402517
285.201027,1766377286.607427,0.640344,-158.717617,160.743920,-40.538463,-158.361564,0.356053
285.299248,1766377286.705649,0.515188,-160.364840,159.149566,-40.485594,-159.955919,0.408922
287.001156,1766377288.407556,0.577007,175.803042,135.061317,-40.741726,175.955832,0.152790
287.099309,1766377288.505709,0.648653,176.017361,135.284114,-40.733246,176.178630,0.161269
287.199176,1766377288.605576,0.590574,174.186740,133.463059,-40.723682,174.357575,0.170834
287.298959,1766377288.705359,0.668148,170.791354,130.331605,-40.459749,171.226120,0.434767
287.399228,1766377288.805628,0.672318,167.570718,126.926506,-40.644212,167.821022,0.250304
